"","t.5","t.5.1","t.15","t.15.1","t.30","t.30.1","t.60","t.60.1","t.60.2","t.60.3","t.60.4","t.120","t.120.1","t.120.2","t.180","t.180.2","t.240","t.240.1","t.240.2","t.300","t.300.1","t.360","t.360.1"
"aceB",-0.282,-0.506,-0.068,-0.144,-0.032,-0.0283,0.31,0.031,0.304,0.0198,0.438,0.5,0.52,1.03,0.371,0.905,0.252,0.588,0.751,0.473,0.793,0.402,0.739
"aceA",-0.152,-0.21,0.171,0.0388,0.223,0.311,0.512,0.389,0.711,0.537,0.546,0.893,0.893,0.893,0.711,0.711,0.59,0.59,0.59,0.372,0.372,0.35,0.35
"aceK",-0.181,-0.314,0.099,-0.0893,0.14,0.138,0.435,0.237,0.566,0.208,0.0377,0.756,0.758,0.512,0.696,0.313,0.691,0.68,0.57,0.666,0.455,0.65,0.457
"acs",1.36,1.25,1.46,1.24,1.42,1.02,1.2,1.33,1.38,1.4,1.33,1.32,1.14,0.0943,1.12,1.12,1.27,1.26,1.25,1.27,1.28,1.42,1.42
"gatD",0.363,0.504,0.192,0.341,0.229,0.215,0.6,0.423,0.759,0.603,0.596,0.864,0.995,0.0943,0.753,0.753,0.788,1.23,1.01,1.26,1.26,1.12,1.12
"gatA",0.383,0.383,0.136,0.328,0.0285,0.186,0.392,0.351,0.606,0.45,0.687,0.882,0.857,0.831,1.02,0.941,0.991,0.963,0.935,1.14,1.14,1.01,1.01
"gatC",0.458,0.583,0.229,0.381,0.152,0.263,0.446,0.422,0.564,0.322,0.489,0.873,0.693,0.66,0.933,0.847,0.838,1.24,1.07,1.17,0.981,1.23,0.99
"sucD",-0.0503,-0.115,-0.5,-0.477,-0.615,-0.469,-0.247,-0.516,-0.192,-0.0567,-0.0467,-0.254,0.49,0.535,0.174,0.819,0.222,0.85,0.891,0.856,0.9,0.872,0.902
"sucC",-0.0085,0.102,-0.314,-0.324,-0.4,-0.152,-0.212,-0.234,-0.164,0.0737,-0.0492,0.539,0.421,0.572,0.79,0.948,0.721,0.809,0.945,0.805,0.868,0.582,0.838
"sdhB",0.0213,-0.0858,-0.253,-0.187,-0.21,-0.0685,0.0818,-0.0668,-0.028,0.042,0.181,0.566,0.663,0.759,0.729,0.862,0.685,0.785,0.886,0.779,0.779,0.743,0.743
"sdhA",0.0403,-0.0138,-0.0648,-0.108,-0.113,-0.0125,0.141,0.065,0.0978,0.132,0.226,0.694,0.559,0.843,0.895,1.03,0.804,0.84,0.998,0.768,0.824,0.67,0.857
"sucB",-0.0408,-0.0368,-0.39,-0.317,-0.356,-0.215,-0.203,-0.226,-0.156,-0.183,-0.147,0.446,0.438,0.43,0.662,0.654,0.633,0.671,0.708,0.601,0.657,0.661,0.661
"livJ",-0.231,-0.353,-0.725,-0.835,-1.16,-1.21,-1.06,-1.45,-0.862,-1.14,-0.873,-0.565,-0.839,-0.622,-0.24,-0.486,0.104,-0.044,-0.249,0.0104,-0.0325,0.054,0.0354
"aroM",0.103,0.0338,0.169,0.252,0.285,0.292,0.35,0.379,0.566,0.344,0.445,0.566,0.492,0.703,0.543,0.435,0.338,0.271,0.405,0.344,0.32,0.25,0.33
"mdh",0.0495,-0.0828,-0.102,-0.192,-0.436,-0.346,-0.213,-0.426,-0.108,-0.396,-0.71,0.27,-0.016,-0.479,0.493,-0.243,0.557,0.401,0.094,0.547,-0.0665,0.514,0.289
"livK",-0.305,-0.314,-0.668,-0.583,-0.833,-0.587,-0.753,-0.754,-0.618,-0.605,-0.999,-0.39,-0.525,-0.949,-0.129,-0.701,-0.203,0.00648,-0.413,0.103,-0.322,0.168,-0.103
"ilvH",-0.134,-0.134,-0.286,-0.0808,-0.282,-0.0823,-0.236,-0.136,-0.116,-0.116,0.0248,-0.256,-0.145,-0.0343,-0.177,0.0823,-0.138,-0.0888,-0.0396,-0.168,0.127,0.0335,0.0335
"cysM",-0.168,-0.189,-0.315,-0.158,-0.364,-0.13,-0.184,-0.067,-0.122,0.347,-0.0598,0.0636,0.247,0.2,0.0975,0.286,0.0459,0.145,0.133,0.151,0.000159,0.172,0.129
"cyoA",-0.209,-0.126,-0.332,-0.246,-0.366,-0.11,-0.389,-0.308,-0.526,-0.33,-0.283,-0.192,-0.209,-0.442,0.126,-0.197,0.19,0.151,-0.043,0.293,0.0255,0.3,0.062
"guaB",-1.06,-0.671,-0.942,-0.874,-1.09,-0.867,-0.796,-0.924,-0.907,-0.595,-0.806,-0.375,-0.414,-0.567,-0.141,-0.209,-0.132,-0.0915,-0.195,-0.228,-0.176,-0.166,-0.333
"pstS",-0.25,-0.139,-0.216,-0.128,-0.308,-0.014,-0.251,-0.138,-0.000865,0.387,-0.000865,-0.224,0.203,0.0943,-0.143,0.132,-0.0467,0.187,0.0701,0.17,0.17,0.249,0.249
"nuoH",0.0408,0.00775,0.115,0.0298,0.199,0.162,0.229,0.188,0.358,0.288,0.38,0.365,0.4,0.435,0.383,0.371,0.329,0.371,0.413,0.393,0.393,0.321,0.321
"ilvB",0.359,0.23,0.986,0.894,0.961,0.604,0.722,0.796,0.804,-0.0552,0.567,0.00298,0.0154,0.0277,0.175,-0.0645,0.165,-0.245,-0.134,-0.191,-0.101,-0.244,-0.0763
"narH",0.089,0.0293,0.148,0.074,0.241,0.216,0.446,0.379,0.431,0.431,0.468,0.325,0.325,0.325,0.0145,0.488,0.0795,0.173,0.257,0.235,0.0317,0.0899,0.0899
"lrp",-0.286,-0.321,-0.621,-0.119,-0.719,-0.734,-0.38,-0.601,-0.789,-0.705,-0.884,-0.524,-0.697,-0.649,-0.274,-0.488,-0.186,-0.257,-0.301,-0.198,-0.114,-0.0881,-0.0638
"gatY",0.596,0.672,0.39,0.567,0.37,0.417,0.623,0.57,0.262,0.69,0.897,0.375,1.04,0.774,0.927,0.816,0.318,1.05,0.87,0.851,0.984,0.887,0.868
"nuoJ",0.009,0.0248,0.00275,0.0553,0.0838,0.0585,0.0363,0.0433,0.252,0.149,0.267,0.344,0.348,0.353,0.248,0.366,0.264,0.331,0.398,0.385,0.385,0.338,0.338
"gltA",-0.082,-0.314,-0.342,-0.373,-0.429,-0.352,-0.0495,-0.283,-0.152,-0.0679,0.0687,0.289,0.224,0.159,0.448,0.403,0.492,0.36,0.393,0.425,0.563,0.449,0.449
"tnaL",-0.117,-0.057,-0.0773,-0.0888,-0.0923,-0.137,-0.0423,-0.0528,0.0943,-0.0192,-0.0759,0.139,0.0196,-0.1,0.423,-0.0468,0.47,0.214,-0.0424,-0.00186,-0.00186,0.49,0.49
"dapA",-0.471,-0.542,-0.61,-0.566,-0.672,-0.511,-0.594,-0.562,-0.427,-0.247,-0.534,-0.143,-0.129,-0.122,-0.0529,0.076,-0.0978,-0.0278,0.0364,-0.0473,0.0816,-0.0532,0.076
"ugpE",0.328,0.357,0.659,0.497,0.684,0.456,0.572,0.594,0.612,0.457,0.0508,0.195,0.137,0.0789,0.19,-0.222,0.0523,-0.0632,-0.179,-0.186,-0.186,-0.161,-0.161
"nuoE",0.0308,0.113,0.003,0.04,0.073,0.15,0.0798,0.137,0.269,0.327,0.405,0.337,0.244,0.29,0.368,0.496,0.298,0.433,0.347,0.396,0.372,0.331,0.391
"nrfE",0.101,0.092,0.133,0.108,0.138,0.156,0.086,0.0998,-0.115,-0.161,-0.0227,-0.114,-0.188,0.0943,0.0448,-0.0169,0.018,-0.0987,-0.0403,-0.0183,-0.0183,-0.00125,-0.00125
"cyoB",-0.221,-0.301,-0.721,-0.621,-0.753,-0.45,-0.567,-0.705,-0.655,-0.646,-0.825,-0.299,-0.425,-0.829,0.0323,-0.382,0.13,0.212,-0.136,0.237,-0.108,0.251,-0.0338
"rfaF",-0.145,-0.258,-0.208,-0.218,-0.188,-0.154,-0.151,-0.134,-0.214,-0.154,-0.163,-0.138,-0.227,0.0943,0.0556,-0.0187,-0.17,-0.102,-0.136,0.097,0.097,0.0115,0.0115
"nuoA",0.187,0.157,0.162,0.208,0.228,0.163,0.142,0.172,0.341,0.294,0.502,0.271,0.18,0.0943,0.366,0.347,0.278,0.264,0.271,0.31,0.31,0.323,0.323
"surA",0.0518,0.185,-0.022,-0.0355,-0.0243,0.0318,-0.039,0.0165,0.0505,0.027,0.0798,0.000994,-0.0641,-0.129,0.0321,-0.13,0.0704,0.00974,-0.0509,-0.0981,-0.0981,-0.0523,-0.0523
"nuoF",0.009,0.0218,0.0195,-0.0238,0.0483,-0.00225,0.0113,0.035,0.214,0.194,0.237,0.224,0.19,0.201,0.238,0.339,0.257,0.229,0.331,0.223,0.278,0.22,0.318
"narY",0.0758,0.0823,0.145,0.099,0.322,0.164,0.454,0.402,0.577,0.486,0.51,0.476,0.619,0.762,0.185,0.492,0.129,0.565,0.274,0.123,0.123,0.121,0.121
"proP",-0.0185,-0.00525,0.0523,0.0103,-0.0548,0.0245,-0.0813,-0.0185,0.0021,-0.0974,0.206,-0.392,-0.202,0.103,-0.512,0.0512,-0.594,-0.288,0.138,-0.328,0.161,-0.311,-0.0885
"adhE",0.0988,0.0758,0.0673,0.119,0.0665,0.0938,0.286,0.283,0.336,0.233,0.352,0.268,0.4,0.233,0.105,0.144,0.013,-0.00955,0.0754,-0.0933,-0.115,-0.11,-0.159
"narI",0.0183,-0.048,0.0495,0.0395,-0.00075,-0.0503,0.0593,-0.00975,0.329,0.151,-0.0691,0.266,0.21,-0.0606,0.114,0.00902,0.0422,-0.0756,0.0154,-0.0809,-0.0763,-0.11,-0.0654
"pykF",-0.0268,-0.0438,0.168,0.131,0.211,0.107,0.267,0.248,0.323,0.318,0.117,0.216,0.261,0.129,-0.017,-0.161,-0.0837,-0.125,-0.165,-0.135,-0.434,-0.2,-0.465
"rpoD",0.146,0.162,0.099,0.0248,0.0155,0.149,0.0845,0.139,0.165,0.098,0.151,0.118,-0.0713,0.115,0.0635,0.041,-0.0472,-0.238,0.0228,-0.0315,-0.128,0.0396,-0.105
"pstC",-0.0203,-0.0675,-0.043,-0.0123,-0.095,0.0313,-0.061,-0.0215,0.0704,-0.00402,-0.00402,0.102,-0.0687,-0.239,0.14,-0.272,0.0297,0.0666,-0.208,0.217,0.217,0.144,-0.228
"rpoE",0.394,0.647,0.298,0.349,0.409,0.434,0.347,0.405,0.456,0.385,0.223,0.418,0.376,0.267,0.275,-0.222,0.192,0.135,-0.00879,0.0931,-0.456,-0.117,-0.117
"arcA",0.42,0.357,0.549,0.424,0.475,0.401,0.457,0.375,0.383,0.37,0.508,0.192,0.173,0.12,0.0933,-0.00224,0.0395,-0.0845,0.0422,-0.0245,-0.0318,-0.0169,-0.00883
"cysA",0.294,0.437,0.191,0.34,0.0653,0.348,0.212,0.402,0.511,0.596,0.193,0.559,0.539,0.597,0.299,0.277,0.266,0.434,0.352,0.361,0.0818,0.178,0.178
"aroG",-0.731,-0.731,-0.75,-0.802,-0.77,-0.678,-0.657,-0.814,-0.883,-0.85,-1.05,-0.555,-0.665,-0.787,-0.473,-0.704,-0.454,-0.438,-0.443,-0.432,-0.639,-0.285,-0.632
"ugpB",0.897,0.949,1.12,0.728,0.991,0.975,0.52,0.833,0.902,0.0703,1.1,0.537,-0.375,0.751,0.282,0.23,0.187,-0.251,-0.039,-0.0745,-0.05,-0.41,0.143
"serA",-0.495,-0.889,-0.98,-1.39,-0.837,-0.837,-0.804,-1.19,-0.911,-0.967,-0.967,-0.415,-0.833,0.0943,-0.371,-0.371,-0.289,-0.576,-0.432,-0.529,-0.529,-0.513,-0.513
"glgP",0.114,-0.0278,-0.0575,-0.339,-0.194,-0.489,-0.192,-0.455,-0.262,-0.472,-0.494,-0.216,-0.403,-0.4,-0.0904,-0.646,-0.0959,-0.41,-0.504,-0.378,-0.616,-0.361,-0.368
"kbl",0.006,0.0823,0.131,0.0705,0.0855,-0.004,0.0138,0.0973,0.294,0.172,0.283,0.0753,0.149,0.224,-0.0352,0.261,-0.0347,0.0406,0.116,0.113,0.113,0.141,0.141
"purM",-0.702,-0.674,-0.698,-0.698,-0.798,-0.509,-0.603,-0.893,-0.529,-0.36,-0.596,-0.114,-0.147,-0.501,0.029,-0.362,0.0933,-0.0149,-0.265,0.105,-0.364,0.0925,-0.205
"phoR",0.0273,0.076,0.0783,0.111,0.0865,0.119,0.0775,0.122,0.226,0.133,0.105,0.253,0.148,0.0427,0.123,0.0146,0.0737,0.045,0.0164,-0.0847,-0.0847,-0.0406,-0.0406
"rseC",0.04,0.0625,0.0505,0.0185,-0.003,0.0085,0.0353,-0.019,0.0847,-0.0522,-0.31,0.141,0.125,-0.239,0.14,-0.255,0.0795,0.207,-0.313,0.137,-0.398,0.244,-0.382
"mdoH",-0.0108,-0.0615,-0.049,0.014,0.0248,0.127,-0.011,0.128,-0.202,-0.0671,-0.183,-0.231,-0.231,-0.231,-0.228,-0.277,-0.153,-0.146,-0.138,-0.115,-0.281,-0.162,-0.162
"cysK",0.179,0.293,-0.117,0.227,-0.227,0.179,0.124,0.182,0.235,0.0894,0.328,0.387,0.0358,0.679,0.384,0.638,0.314,0.206,0.563,0.0931,0.338,0.321,0.321
"tyrR",-0.005,-0.03,0.181,0.113,0.173,0.145,0.102,0.148,0.198,0.085,-0.108,0.0862,-0.00475,-0.0957,0.0134,-0.54,-0.00841,-0.184,-0.224,0.0184,-0.611,0.0921,-0.321
"cysH",0.0233,0.171,0.0708,0.331,-0.107,0.261,0.305,0.39,0.51,0.451,0.597,0.512,0.559,1.05,0.51,1.01,0.443,0.379,0.83,0.323,0.548,0.387,0.428
"aroP",-0.369,-0.38,-0.315,-0.313,-0.377,-0.289,-0.318,-0.302,-0.183,-0.352,-0.605,-0.124,-0.279,-0.81,-0.0555,-0.684,-0.0544,-0.266,-0.478,-0.303,-0.452,0.0998,-0.323
"glgS",0.308,0.269,0.727,0.539,0.839,0.57,0.656,0.748,-0.203,0.222,0.796,0.444,0.264,0.623,-0.0342,0.598,0.116,0.237,0.359,-0.0582,0.128,-0.0751,0.154
"purA",-0.489,-0.527,-0.841,-0.891,-1.02,-0.758,-0.599,-0.898,-0.534,-0.677,-0.677,-0.0732,-0.184,0.0943,-0.017,-0.192,-0.0613,-0.249,-0.155,-0.079,-0.079,-0.138,-0.138
"purK",-0.178,-0.407,-0.346,-0.247,-0.416,-0.468,-0.317,-0.234,-0.619,-0.233,-0.446,-0.152,-0.144,-0.047,0.0746,0.057,0.0802,-0.0367,0.079,-0.0666,0.0753,-0.159,0.00537
"leuC",-0.279,-0.438,-0.954,-1.04,-0.981,-0.981,-0.757,-0.868,-0.975,-0.118,-0.939,-0.774,-0.23,-0.889,-0.467,-0.656,-0.393,-0.528,-0.495,-0.357,-0.489,-0.134,-0.378
"leuA",-0.672,-0.85,-1.09,-0.924,-1.11,-0.942,-0.776,-0.856,-1,-0.856,-0.789,-0.805,-0.825,-0.845,-0.539,-0.539,-0.488,-0.696,-0.348,-0.551,-0.551,-0.619,-0.423
"leuB",-0.54,-0.614,-0.828,-0.906,-0.923,-0.604,-0.672,-0.771,-0.909,-0.807,-0.876,-0.605,-0.595,-0.83,-0.453,-0.5,-0.283,-0.424,-0.435,-0.361,-0.417,-0.369,-0.369
"trpA",-0.005,-0.0545,-0.622,-0.667,-0.76,-0.493,-0.615,-0.597,-0.592,-0.601,-0.601,-0.526,-0.526,-0.526,-0.488,-0.488,-0.485,-0.399,-0.442,-0.476,-0.476,-0.546,-0.546
"trpC",-0.411,-0.478,-0.736,-0.628,-0.797,-0.797,-0.602,-0.487,-0.516,-0.535,-0.535,-0.529,-0.242,0.0943,-0.455,-0.579,-0.47,-0.351,-0.41,-0.508,-0.508,-0.188,-0.188
"aroF",-0.264,-0.061,-0.14,0.0675,-0.199,0.0095,-0.018,0.127,0.0516,0.0673,-0.895,0.374,0.518,-0.0684,0.258,-0.299,0.113,0.259,-0.499,0.159,-0.464,0.16,-0.587
"tyrA",-0.555,-0.305,-0.459,-0.098,-0.479,0.0323,-0.168,0.041,-0.0761,-0.0232,-1.08,0.178,0.472,-0.116,0.158,-0.57,0.0268,0.0416,-0.597,0.0355,-0.823,0.0342,-0.753
"uspA",-0.0153,0.032,-0.182,-0.269,-0.276,-0.286,-0.281,-0.32,-0.279,-0.434,-0.417,-0.473,-0.107,-0.231,-0.201,-0.32,-0.19,0.00737,-0.238,0.0532,0.026,0.0257,0.104
"fabA",0.444,0.389,0.484,0.32,0.242,0.269,0.298,0.246,-0.0493,-0.196,0.0744,0.152,0.0172,0.0943,0.251,0.153,0.237,0.109,0.173,0.179,0.179,0.237,0.237
"iclR",-0.173,-0.142,-0.166,-0.179,-0.157,-0.0573,-0.107,-0.117,-0.0412,-0.208,-0.118,0.0751,0.0372,-0.337,0.19,-0.462,0.194,0.104,-0.217,0.172,-0.385,0.116,-0.246
"epd",-0.116,-0.175,-0.0135,-0.00775,-0.046,-0.00575,0.009,0.05,0.138,0.106,-0.31,-0.0392,0.0362,-0.254,-0.0729,-0.453,-0.0318,-0.0698,-0.415,-0.0414,-0.537,-0.0732,-0.459
"aidB",0.0515,0.123,0.158,0.127,0.312,0.123,0.353,0.276,0.246,0.221,0.00991,0.247,0.22,0.193,0.111,0.14,0.109,0.0669,0.0249,0.0641,0.0641,0.0173,0.0173
"csgD",-0.176,-0.252,-0.222,-0.1,-0.07,-0.0453,0.144,0.231,0.153,0.0913,-0.373,0.239,0.111,-0.171,0.222,-0.333,0.344,0.125,-0.287,0.0565,-0.288,0.0302,-0.0384
"csgE",-0.32,-0.22,-0.782,-0.781,-0.786,-0.888,-0.409,-0.761,0.099,-0.347,-0.441,0.246,-0.29,-0.114,0.259,-0.455,0.371,-0.114,-0.317,-0.112,-0.193,-0.302,-0.0494
"csgF",-0.75,-0.75,-0.611,-0.514,-0.593,-0.313,0.124,0.152,0.0738,0.133,-0.458,0.215,0.188,0.0615,0.0985,-0.332,0.329,0.089,-0.333,0.0151,-0.208,-0.0566,-0.0393
"csiE",0.805,0.892,1,0.921,1.05,1.05,0.859,0.884,1.07,1.07,1.46,0.682,0.603,1.07,0.523,0.876,0.444,0.37,0.739,0.188,0.64,0.173,0.561
"ftsZ",0.015,-0.0385,-0.0933,-0.0805,-0.142,-0.0705,-0.128,-0.142,-0.142,-0.258,-0.143,-0.0559,-0.213,-0.0986,-0.0998,-0.0522,-0.0838,-0.0668,-0.105,-0.0527,-0.156,0.00102,-0.0777
"galE",0.241,0.282,0.279,0.227,0.28,0.164,0.102,0.141,0.286,0.174,0.211,0.157,0.222,-0.0944,0.118,-0.143,0.116,0.152,-0.0435,0.099,0.0942,0.168,0.157
"galK",0.109,0.127,0.16,0.197,0.209,0.212,0.0978,0.106,0.334,0.239,-0.0401,0.254,0.273,0.101,0.202,-0.0762,0.172,0.205,-0.0321,0.295,0.295,0.229,-0.0384
"galT",0.177,0.339,0.259,0.223,0.271,0.126,0.134,0.0953,0.131,0.176,0.191,0.154,0.135,0.173,0.122,0.00117,0.0589,0.176,-0.0579,0.213,0.0455,0.207,0.108
"glgA",0.233,0.166,0.105,-0.159,-0.0035,-0.231,-0.0785,-0.265,-0.239,-0.322,-0.261,-0.359,-0.324,-0.394,-0.133,-0.669,-0.192,-0.31,-0.29,-0.26,-0.634,-0.237,-0.331
"glpD",0.915,0.975,0.661,0.638,0.501,0.321,0.276,0.293,0.417,0.47,0.19,0.174,0.174,-0.0684,0.0917,0.0149,0.0307,0.133,0.00394,0.244,-0.128,0.167,-0.0427
"gor",0.0265,0.102,0.181,0.147,0.135,0.189,0.096,0.07,-0.0268,0.0306,-0.0167,-0.0833,0.00665,-0.0388,-0.0269,-0.0767,-0.0539,0.00683,-0.209,0.0869,-0.14,-0.0277,-0.218
"hdeA",-0.0055,0.1,0.184,0.187,0.353,0.483,0.516,0.527,0.695,0.691,1.01,0.911,0.774,0.991,0.8,1.02,0.764,0.772,0.78,0.441,0.903,0.166,0.777
"hdeB",-0.0123,0.087,0.113,0.13,0.338,0.295,0.346,0.359,0.599,0.46,0.773,0.73,0.645,0.886,0.603,0.812,0.461,0.374,0.572,0.416,0.657,0.292,0.655
"ldcC",0.154,0.275,0.257,0.216,0.266,0.117,0.218,0.145,0.109,0.185,0.231,0.0141,0.177,0.054,-0.0113,0.0655,-0.0424,0.0051,0.00562,-0.000354,-0.0214,0.0953,-0.065
"mutH",0.00675,0.0548,0.00925,0.0765,0.0045,0.008,-0.0278,0.0468,-0.0609,-0.03,-0.078,0.0436,0.22,-0.018,0.113,0.271,0.0572,0.0599,0.114,0.227,0.152,0.063,0.0738
"osmE",0.355,0.33,0.722,0.503,0.625,0.45,0.434,0.471,0.369,0.507,0.066,0.00344,0.277,-0.27,-0.15,-0.544,-0.341,-0.0751,-0.607,0.106,-0.56,-0.0226,-0.476
"poxB",0.081,0.104,0.202,0.125,0.175,0.0575,0.299,0.151,0.322,0.267,0.338,0.294,0.394,0.459,0.132,0.186,0.0827,0.052,0.0913,-0.0529,0.0686,-0.1,-0.0122
"pspA",0.949,0.92,0.723,0.712,0.315,0.29,0.182,0.334,0.278,0.334,0.541,0.0878,0.129,0.17,0.0707,-0.0148,-0.0102,-0.0179,-0.0255,0.0205,0.0205,0.0384,0.0384
"rob",0.138,0.234,0.271,0.273,0.265,0.18,0.193,0.216,0.251,0.263,0.422,0.197,0.209,0.247,0.139,0.0458,0.0318,0.0169,0.0467,0.0457,0.116,0.15,0.0533
"topA",-0.225,-0.19,-0.316,-0.246,-0.404,-0.0918,-0.292,-0.147,-0.257,-0.242,-0.235,-0.0181,-0.0612,-0.0396,0.0646,-0.00257,0.0321,-0.0602,-0.0141,-0.0881,-0.0881,-0.0882,-0.0882
"wrbA",0.122,0.158,0.379,0.219,0.405,0.165,0.354,0.211,0.409,0.235,0.394,0.187,0.15,0.0943,0.0589,-0.116,-0.0486,-0.363,-0.111,-0.288,-0.44,-0.362,-0.172
"xthA",-0.133,-0.175,-0.101,-0.171,-0.118,-0.234,-0.104,-0.127,-0.0988,0.124,0.16,0.0209,0.0872,0.254,0.0689,0.258,0.0362,0.0856,0.272,0.0308,0.267,0.0598,0.218
"yciG",0.0605,0.103,0.187,0.101,0.263,0.14,0.433,0.423,0.493,0.722,0.518,0.429,0.652,0.561,0.177,0.205,0.102,0.136,0.17,0.133,0.133,-0.0534,0.0849
"ppsA",-0.21,-0.453,-0.415,-0.481,-0.532,-0.457,-0.22,-0.563,-0.174,-0.555,-0.303,0.229,0.002,0.133,0.418,0.288,0.447,0.34,0.383,0.345,0.462,0.405,0.516
